Year,Athlete,Nationality,Time(h:m:s),Notes
1983,Denise Smith,United Kingdom,04:29:03,Course record
1984,Kay McShane,Ireland,03:10:04,Course record
1985,Kay McShane,Ireland,02:47:12,Course record; second victory
1986,Kay McShane,Ireland,03:02:40,Third victory
1987,Karen Davidson,United Kingdom,02:45:30,Course record
1988,Karen Davidson,United Kingdom,02:41:45,Course record
1989,Josie Cichockyj,United Kingdom,03:03:54,
1990,Connie Hansen,Denmark,02:10:25,Course record
1991,Connie Hansen,Denmark,02:04:40,Course record; second victory
1992,Tanni Grey,United Kingdom,02:17:23,
1993,Rose Hill,United Kingdom,02:03:05,Course record
1994,Tanni Grey,United Kingdom,02:08:26,Second victory
1995,Rose Hill,United Kingdom,02:17:02,Second victory
1996,Tanni Grey,United Kingdom,02:00:10,Course record; third victory
1997,Monica Wetterstrom,Sweden,01:49:09,Course record
1998,Tanni Grey,United Kingdom,02:02:01,Fourth victory
1999,Monica Wetterstrom,Sweden,01:57:38,Second victory
2000,Sarah Piercy,United Kingdom,02:23:30,
2001,Tanni Grey-Thompson,United Kingdom,02:13:55,Fifth victory
2002,Tanni Grey-Thompson,United Kingdom,02:22:51,Sixth victory
2003,Francesca Porcellato,Italy,02:04:21,
2004,Francesca Porcellato,Italy,02:04:58,Second victory
2005,Francesca Porcellato,Italy,01:57:00,Third victory
2006,Francesca Porcellato,Italy,01:59:57,Fourth victory
2007,Shelly Woods,United Kingdom,01:50:40,
2008,Sandra Graf,Switzerland,01:48:04,Course record
2009,Amanda McGrory,United States,01:50:39,
2010,Wakako Tsuchida,Japan,01:52:33,
2011,Amanda McGrory,United States,01:46:31,Course record; second victory
2012,Shelly Woods,United Kingdom,01:49:10,Second victory
2013,Tatyana McFadden,United States,01:46:02,Course record
2014,Tatyana McFadden,United States,01:45:12,Course record; second victory
2015,Tatyana McFadden,United States,01:41:14,Course record; third victory
2016,Tatyana McFadden,United States,01:44:14,Fourth victory
2017,Manuela Schär,Switzerland,01:39:57,Course record
2018,Madison de Rozario,Australia,01:42:58,
